date,ticker,change_noncommercial_long,change_noncommercial_short,change_nonrept_long,change_nonrept_short,change_noncommercial_delta,change_nonreportable_delta
2024-04-09,XAUUSD,-1600,3231,2628,-1071,-4831,3699
2024-04-02,XAUUSD,15752,7796,927,1509,7956,-582
2024-03-26,XAUUSD,-13085,-10777,-1127,-4245,-2308,3118
2024-03-19,XAUUSD,-4330,-4330,1139,1882,0,-743
2024-03-12,XAUUSD,18914,8605,3210,2038,10309,1172
2024-03-05,XAUUSD,49200,-457,5839,7056,49657,-1217
2024-02-27,XAUUSD,3914,2540,-2903,-470,1374,-2433
2024-02-20,XAUUSD,-6471,-15565,-2382,281,9094,-2663
2024-02-13,XAUUSD,-11118,19452,2365,-944,-30570,3309
2024-02-06,XAUUSD,9401,-4546,-3501,723,13947,-4224
2024-01-30,XAUUSD,-21878,-195,-280,-388,-21683,108
2024-01-23,XAUUSD,-21260,-10841,-3996,912,-10419,-4908
2024-01-16,XAUUSD,-9305,-584,-934,626,-8721,-1560
2024-01-09,XAUUSD,-19041,-6,1374,116,-19035,1258
2024-01-02,XAUUSD,863,932,1164,-2038,-69,3202
2023-12-26,XAUUSD,8871,2492,17,1109,6379,-1092
2023-12-19,XAUUSD,7436,-5670,1562,418,13106,1144
2023-12-12,XAUUSD,-15304,7,-1026,-2200,-15311,1174
2023-12-05,XAUUSD,-1005,-4465,1833,-3060,3460,4893
2023-11-28,XAUUSD,20144,-8235,1691,1713,28379,-22
2023-11-21,XAUUSD,15349,-980,-1450,1663,16329,-3113
2023-11-14,XAUUSD,-7301,3539,-75,-1843,-10840,1768
2023-11-07,XAUUSD,600,-2191,692,99,2791,593
2023-10-31,XAUUSD,9584,-4456,2663,-131,14040,2794
2023-10-24,XAUUSD,20057,-16590,1266,39,36647,1227
2023-10-17,XAUUSD,11080,-30225,-3607,127,41305,-3734
2023-10-10,XAUUSD,-8074,11719,-786,975,-19793,-1761
2023-10-03,XAUUSD,-7154,17435,43,-1692,-24589,1735
2023-09-26,XAUUSD,-2156,17192,1292,40,-19348,1252
2023-09-19,XAUUSD,2012,-9287,-2819,358,11299,-3177
2023-09-12,XAUUSD,-98,14044,774,61,-14142,713
2023-09-05,XAUUSD,-252,-14986,2199,-712,14734,2911
2023-08-29,XAUUSD,9714,-11612,-1545,223,21326,-1768
2023-08-22,XAUUSD,-6738,12452,975,2679,-19190,-1704
2023-08-15,XAUUSD,4232,26081,-659,3116,-21849,-3775
2023-08-08,XAUUSD,-10139,11800,1742,-906,-21939,2648
2023-08-01,XAUUSD,-9244,-529,-4046,-1396,-8715,-2650
2023-07-25,XAUUSD,-15511,4198,1516,-2688,-19709,4204
2023-07-18,XAUUSD,23194,-4400,-834,794,27594,-1628
2023-07-11,XAUUSD,5465,2808,1128,753,2657,375
2023-07-03,XAUUSD,14200,3013,-2552,-747,11187,-1805
2023-06-27,XAUUSD,-8427,2638,640,777,-11065,-137
2023-06-20,XAUUSD,1991,-775,-1551,740,2766,-2291
2023-06-13,XAUUSD,-10150,5282,1358,-1949,-15432,3307
2023-06-06,XAUUSD,161,-6164,3984,2127,6325,1857
