"filename", "language", "Python", "toml", "pip requirements", "Markdown", "Jupyter", "JavaScript", "CSV", "Django HTML", "Properties", "SQLite3 Editor Query", "JSON", "comment", "blank", "total"
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Backtesting\notebooks\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Backtesting\notebooks\batch_testing.ipynb", "Jupyter", 0, 0, 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 1, 349
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Backtesting\performance_metrics.py", "Python", 396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 64, 602
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Backtesting\plot_backtest.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 30, 139
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Backtesting\reports\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Backtesting\reports\backtest_stock1_tf7_random_forest_20250520_010326.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 10867, 0, 0, 0, 0, 1088, 11955
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Backtesting\run_batch_tests.py", "Python", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 44, 199
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Backtesting\test_recognizer.py", "Python", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 65, 349
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Backtesting\trade_strategies.py", "Python", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 53, 407
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\ModelTraining\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\ModelTraining\lstm_regression.ipynb", "Jupyter", 0, 0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 0, 1, 450
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\ParamTesting\Results\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\ParamTesting\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\ParamTesting\advanced_analysis.py", "Python", 1181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 332, 315, 1828
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\ParamTesting\parameter_tester.py", "Python", 916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 409, 178, 1503
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\ParamTesting\parameter_tester_multithreaded.py", "Python", 829, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 368, 210, 1407
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\PatternRecognition\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\PatternRecognition\pattern_recognition_mse.ipynb", "Jupyter", 0, 0, 0, 0, 669, 0, 0, 0, 0, 0, 0, 0, 1, 670
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\PatternRecognition\pattern_recognition_techniques.ipynb", "Jupyter", 0, 0, 0, 0, 1113, 0, 0, 0, 0, 0, 0, 0, 1, 1114
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\TradingSimulation\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\TradingSimulation\trading_simulator.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 26, 144
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Utils\ev_vs_pf.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 63
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Utils\min_max_cluster_test.py", "Python", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 69, 376
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Utils\scaling.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 14, 80
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\Utils\stats.py", "Python", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 25, 165
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Experements\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\Backtesting\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\ParamTesting\AdvancedAnalysisV2\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\ParamTesting\AdvancedAnalysis\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\ParamTesting\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\PatternMining\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\PatternRecognition\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\Analysis\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\Analysis\feature_ablation.csv", "CSV", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\Analysis\permutation_importance.csv", "CSV", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\Models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\Performance\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\RiskManagement\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\RiskManagement\stress_test_results.csv", "CSV", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\strategy\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\strategy\performance_metrics.csv", "CSV", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\strategy\portfolio_values.csv", "CSV", 0, 0, 0, 0, 0, 0, 1001, 0, 0, 0, 0, 0, 1, 1002
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\RL\strategy\trades.csv", "CSV", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\ReinforcementLearning\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\Sentiment\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\Utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Images\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Interface\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Interface\cli.py", "Python", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 31, 232
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Interface\gui.py", "Python", 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 61, 415
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Interface\model_manager_cli.py", "Python", 627, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 161, 905
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Interface\model_manager_interactive.py", "Python", 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 112, 485
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Interface\send_email.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 7, 72
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Lib\Backtesting\__init__.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 4, 91
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Lib\Backtesting\_plotting.py", "Python", 625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 109, 778
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Lib\Backtesting\_stats.py", "Python", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 32, 213
