Pattern Count,K,Silhouette Score,Is Optimal,Sample Size,n_pips,lookback
158,23,23,False,418,3,12
109,5,5,False,418,3,24
109,6,6,False,418,3,24
109,7,7,False,418,3,24
109,8,8,False,418,3,24
109,9,9,False,418,3,24
109,10,10,False,418,3,24
109,11,11,False,418,3,24
109,12,12,False,418,3,24
109,13,13,False,418,3,24
109,14,14,False,418,3,24
109,15,15,False,418,3,24
109,16,16,False,418,3,24
109,17,17,True,418,3,24
109,18,18,False,418,3,24
109,19,19,False,418,3,24
101,5,5,False,418,3,36
101,6,6,False,418,3,36
101,7,7,False,418,3,36
101,8,8,False,418,3,36
101,9,9,False,418,3,36
101,10,10,False,418,3,36
101,11,11,False,418,3,36
101,12,12,False,418,3,36
101,13,13,False,418,3,36
101,14,14,True,418,3,36
101,15,15,False,418,3,36
101,16,16,False,418,3,36
101,17,17,False,418,3,36
101,18,18,False,418,3,36
101,19,19,False,418,3,36
254,7,7,False,418,5,12
254,8,8,False,418,5,12
254,9,9,False,418,5,12
254,10,10,False,418,5,12
254,11,11,False,418,5,12
254,12,12,True,418,5,12
254,13,13,False,418,5,12
254,14,14,False,418,5,12
254,15,15,False,418,5,12
254,16,16,False,418,5,12
254,17,17,False,418,5,12
254,18,18,False,418,5,12
254,19,19,False,418,5,12
254,20,20,False,418,5,12
254,21,21,False,418,5,12
254,22,22,False,418,5,12
254,23,23,False,418,5,12
254,24,24,False,418,5,12
254,25,25,False,418,5,12
254,26,26,False,418,5,12
254,27,27,False,418,5,12
254,28,28,False,418,5,12
254,29,29,False,418,5,12
188,6,6,False,418,5,24
188,7,7,False,418,5,24
188,8,8,False,418,5,24
188,9,9,False,418,5,24
188,10,10,False,418,5,24
188,11,11,False,418,5,24
188,12,12,False,418,5,24
188,13,13,False,418,5,24
188,14,14,False,418,5,24
188,15,15,False,418,5,24
188,16,16,False,418,5,24
188,17,17,True,418,5,24
188,18,18,False,418,5,24
188,19,19,False,418,5,24
188,20,20,False,418,5,24
188,21,21,False,418,5,24
188,22,22,False,418,5,24
188,23,23,False,418,5,24
188,24,24,False,418,5,24
188,25,25,False,418,5,24
167,6,6,False,418,5,36
167,7,7,False,418,5,36
167,8,8,False,418,5,36
167,9,9,False,418,5,36
167,10,10,False,418,5,36
167,11,11,False,418,5,36
167,12,12,False,418,5,36
167,13,13,False,418,5,36
167,14,14,False,418,5,36
167,15,15,False,418,5,36
167,16,16,False,418,5,36
167,17,17,False,418,5,36
167,18,18,False,418,5,36
167,19,19,True,418,5,36
167,20,20,False,418,5,36
167,21,21,False,418,5,36
167,22,22,False,418,5,36
167,23,23,False,418,5,36
317,8,8,True,418,7,12
317,9,9,False,418,7,12
317,10,10,False,418,7,12
317,11,11,False,418,7,12
317,12,12,False,418,7,12
317,13,13,False,418,7,12
317,14,14,False,418,7,12
317,15,15,False,418,7,12
317,16,16,False,418,7,12
317,17,17,False,418,7,12
317,18,18,False,418,7,12
317,19,19,False,418,7,12
317,20,20,False,418,7,12
317,21,21,False,418,7,12
317,22,22,False,418,7,12
317,23,23,False,418,7,12
317,24,24,False,418,7,12
317,25,25,False,418,7,12
317,26,26,False,418,7,12
317,27,27,False,418,7,12
317,28,28,False,418,7,12
317,29,29,False,418,7,12
317,30,30,False,418,7,12
317,31,31,False,418,7,12
317,32,32,False,418,7,12
317,33,33,False,418,7,12
225,7,7,False,418,7,24
225,8,8,False,418,7,24
225,9,9,False,418,7,24
225,10,10,False,418,7,24
225,11,11,False,418,7,24
225,12,12,False,418,7,24
225,13,13,False,418,7,24
225,14,14,False,418,7,24
225,15,15,False,418,7,24
225,16,16,False,418,7,24
225,17,17,False,418,7,24
225,18,18,False,418,7,24
225,19,19,False,418,7,24
225,20,20,False,418,7,24
225,21,21,False,418,7,24
225,22,22,False,418,7,24
225,23,23,False,418,7,24
225,24,24,False,418,7,24
225,25,25,True,418,7,24
225,26,26,False,418,7,24
225,27,27,False,418,7,24
225,28,28,False,418,7,24
225,29,29,False,418,7,24
213,7,7,False,418,7,36
213,8,8,False,418,7,36
213,9,9,False,418,7,36
213,10,10,False,418,7,36
213,11,11,False,418,7,36
213,12,12,False,418,7,36
213,13,13,False,418,7,36
213,14,14,False,418,7,36
213,15,15,False,418,7,36
213,16,16,False,418,7,36
213,17,17,False,418,7,36
213,18,18,False,418,7,36
213,19,19,False,418,7,36
213,20,20,False,418,7,36
213,21,21,False,418,7,36
213,22,22,False,418,7,36
213,23,23,False,418,7,36
213,24,24,False,418,7,36
213,25,25,False,418,7,36
213,26,26,True,418,7,36
213,27,27,False,418,7,36
362,9,9,False,418,9,12
362,10,10,False,418,9,12
362,11,11,False,418,9,12
362,12,12,False,418,9,12
362,13,13,True,418,9,12
362,14,14,False,418,9,12
362,15,15,False,418,9,12
362,16,16,False,418,9,12
362,17,17,False,418,9,12
362,18,18,False,418,9,12
362,19,19,False,418,9,12
362,20,20,False,418,9,12
362,21,21,False,418,9,12
362,22,22,False,418,9,12
362,23,23,False,418,9,12
362,24,24,False,418,9,12
362,25,25,False,418,9,12
362,26,26,False,418,9,12
362,27,27,False,418,9,12
362,28,28,False,418,9,12
362,29,29,False,418,9,12
362,30,30,False,418,9,12
362,31,31,False,418,9,12
362,32,32,False,418,9,12
362,33,33,False,418,9,12
362,34,34,False,418,9,12
362,35,35,False,418,9,12
362,36,36,False,418,9,12
362,37,37,False,418,9,12
261,8,8,False,418,9,24
261,9,9,True,418,9,24
261,10,10,False,418,9,24
261,11,11,False,418,9,24
261,12,12,False,418,9,24
261,13,13,False,418,9,24
261,14,14,False,418,9,24
261,15,15,False,418,9,24
261,16,16,False,418,9,24
261,17,17,False,418,9,24
261,18,18,False,418,9,24
261,19,19,False,418,9,24
261,20,20,False,418,9,24
261,21,21,False,418,9,24
261,22,22,False,418,9,24
261,23,23,False,418,9,24
261,24,24,False,418,9,24
261,25,25,False,418,9,24
261,26,26,False,418,9,24
261,27,27,False,418,9,24
261,28,28,False,418,9,24
261,29,29,False,418,9,24
261,30,30,False,418,9,24
261,31,31,False,418,9,24
242,7,7,False,418,9,36
242,8,8,False,418,9,36
242,9,9,False,418,9,36
242,10,10,False,418,9,36
242,11,11,False,418,9,36
242,12,12,False,418,9,36
242,13,13,False,418,9,36
242,14,14,False,418,9,36
242,15,15,False,418,9,36
242,16,16,False,418,9,36
242,17,17,False,418,9,36
242,18,18,False,418,9,36
242,19,19,False,418,9,36
242,20,20,False,418,9,36
242,21,21,False,418,9,36
242,22,22,False,418,9,36
242,23,23,False,418,9,36
242,24,24,False,418,9,36
242,25,25,True,418,9,36
242,26,26,False,418,9,36
242,27,27,False,418,9,36
242,28,28,False,418,9,36
242,29,29,False,418,9,36
229,7,7,False,597,3,12
229,8,8,True,597,3,12
229,9,9,False,597,3,12
229,10,10,False,597,3,12
229,11,11,False,597,3,12
229,12,12,False,597,3,12
229,13,13,False,597,3,12
229,14,14,False,597,3,12
229,15,15,False,597,3,12
229,16,16,False,597,3,12
229,17,17,False,597,3,12
229,18,18,False,597,3,12
229,19,19,False,597,3,12
229,20,20,False,597,3,12
229,21,21,False,597,3,12
229,22,22,False,597,3,12
229,23,23,False,597,3,12
229,24,24,False,597,3,12
229,25,25,False,597,3,12
229,26,26,False,597,3,12
229,27,27,False,597,3,12
229,28,28,False,597,3,12
229,29,29,False,597,3,12
144,6,6,False,597,3,24
144,7,7,False,597,3,24
144,8,8,False,597,3,24
144,9,9,False,597,3,24
144,10,10,False,597,3,24
144,11,11,False,597,3,24
144,12,12,False,597,3,24
144,13,13,False,597,3,24
144,14,14,False,597,3,24
144,15,15,False,597,3,24
144,16,16,False,597,3,24
144,17,17,False,597,3,24
144,18,18,False,597,3,24
144,19,19,False,597,3,24
144,20,20,False,597,3,24
144,21,21,False,597,3,24
144,22,22,False,597,3,24
144,23,23,True,597,3,24
121,5,5,False,597,3,36
121,6,6,False,597,3,36
121,7,7,False,597,3,36
121,8,8,False,597,3,36
121,9,9,False,597,3,36
121,10,10,False,597,3,36
121,11,11,False,597,3,36
121,12,12,False,597,3,36
121,13,13,False,597,3,36
121,14,14,True,597,3,36
121,15,15,False,597,3,36
121,16,16,False,597,3,36
121,17,17,False,597,3,36
121,18,18,False,597,3,36
121,19,19,False,597,3,36
121,20,20,False,597,3,36
121,21,21,False,597,3,36
368,9,9,False,597,5,12
368,10,10,False,597,5,12
368,11,11,False,597,5,12
368,12,12,False,597,5,12
368,13,13,False,597,5,12
368,14,14,False,597,5,12
368,15,15,False,597,5,12
368,16,16,False,597,5,12
368,17,17,False,597,5,12
368,18,18,False,597,5,12
368,19,19,False,597,5,12
368,20,20,False,597,5,12
368,21,21,False,597,5,12
368,22,22,False,597,5,12
368,23,23,False,597,5,12
368,24,24,False,597,5,12
368,25,25,False,597,5,12
368,26,26,False,597,5,12
368,27,27,False,597,5,12
368,28,28,False,597,5,12
368,29,29,False,597,5,12
368,30,30,False,597,5,12
368,31,31,True,597,5,12
368,32,32,False,597,5,12
368,33,33,False,597,5,12
368,34,34,False,597,5,12
368,35,35,False,597,5,12
368,36,36,False,597,5,12
368,37,37,False,597,5,12
272,8,8,False,597,5,24
272,9,9,False,597,5,24
272,10,10,False,597,5,24
272,11,11,False,597,5,24
272,12,12,False,597,5,24
272,13,13,False,597,5,24
272,14,14,False,597,5,24
272,15,15,False,597,5,24
272,16,16,False,597,5,24
272,17,17,False,597,5,24
272,18,18,False,597,5,24
272,19,19,False,597,5,24
272,20,20,False,597,5,24
272,21,21,False,597,5,24
272,22,22,True,597,5,24
272,23,23,False,597,5,24
272,24,24,False,597,5,24
272,25,25,False,597,5,24
272,26,26,False,597,5,24
272,27,27,False,597,5,24
272,28,28,False,597,5,24
272,29,29,False,597,5,24
272,30,30,False,597,5,24
272,31,31,False,597,5,24
236,7,7,False,597,5,36
236,8,8,False,597,5,36
236,9,9,False,597,5,36
236,10,10,False,597,5,36
236,11,11,False,597,5,36
236,12,12,False,597,5,36
236,13,13,False,597,5,36
236,14,14,False,597,5,36
236,15,15,False,597,5,36
236,16,16,False,597,5,36
236,17,17,False,597,5,36
236,18,18,True,597,5,36
236,19,19,False,597,5,36
236,20,20,False,597,5,36
236,21,21,False,597,5,36
236,22,22,False,597,5,36
