Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,ExitReason,Duration,Tag
29,148,150,2045.60454,2055.5849197699877,2043.2340130477987,2055.5849197699877,289.431013329641,0.004878939000588778,2024-01-12 13:00:00,2024-01-12 15:00:00,tp,0 days 02:00:00,81
29,149,150,2048.0047799999998,2045.6314715553349,2045.6314715553349,2061.3958271927127,-68.82594489528128,-0.0011588393092837324,2024-01-12 14:00:00,2024-01-12 15:00:00,sl,0 days 01:00:00,82
24,150,151,2056.335613,2053.4856327389584,2053.4856327389584,2063.3299687893686,-68.39952626500235,-0.001385950932826563,2024-01-12 15:00:00,2024-01-12 16:00:00,sl,0 days 01:00:00,83
24,151,152,2056.1155909999998,2053.265915678654,2053.265915678654,2075.7077956368594,-68.39220771229884,-0.001385950932826563,2024-01-12 16:00:00,2024-01-12 17:00:00,sl,0 days 01:00:00,84
24,152,153,2053.945374,2051.0987064929295,2051.0987064929295,2064.527399557526,-68.32002016968909,-0.001385950932826674,2024-01-12 17:00:00,2024-01-12 18:00:00,sl,0 days 01:00:00,85
24,153,154,2048.484828,2045.6457285417525,2045.6457285417525,2059.0387205613615,-68.13838699794178,-0.001385950932826563,2024-01-12 18:00:00,2024-01-12 19:00:00,sl,0 days 01:00:00,86
24,157,159,2047.654745,2047.6,2044.8167959960606,2054.619573955826,-1.313880000003337,-2.673546413711758e-05,2024-01-12 22:00:00,2024-01-15 01:00:00,time,2 days 03:00:00,90
24,156,159,2047.554735,2047.6,2044.7169246050132,2054.519223784933,1.0863599999993312,2.2106857133552538e-05,2024-01-12 21:00:00,2024-01-15 01:00:00,time,2 days 04:00:00,89
24,155,159,2047.7447539999998,2047.6,2044.9066802480029,2058.2948336644454,-3.4740959999980987,-7.068947422139704e-05,2024-01-12 20:00:00,2024-01-15 01:00:00,time,2 days 05:00:00,88
3,154,159,2044.0643859999998,2047.6,2038.20760169434,2059.7266464682634,10.60684200000037,0.0017296979606982177,2024-01-12 19:00:00,2024-01-15 01:00:00,time,2 days 06:00:00,87
24,158,159,2049.0748869999998,2047.6,2046.2349697489308,2059.631819573767,-35.39728799999648,-0.0007197818924808974,2024-01-12 23:00:00,2024-01-15 01:00:00,time,2 days 02:00:00,91
72,159,162,2047.80476,2054.770099212166,2044.966603082631,2054.770099212166,501.5044232759428,0.0034013687965868122,2024-01-15 01:00:00,2024-01-15 04:00:00,tp,0 days 03:00:00,92
72,160,162,2048.064786,2055.0310096564885,2045.226268699354,2055.0310096564885,501.56810326718187,0.0034013687965868122,2024-01-15 02:00:00,2024-01-15 04:00:00,tp,0 days 02:00:00,93
73,162,164,2056.5656360000003,2053.715336938367,2053.715336938367,2063.5607741824233,-208.07183149924185,-0.001385950932826674,2024-01-15 04:00:00,2024-01-15 06:00:00,sl,0 days 02:00:00,95
73,163,164,2057.555735,2054.704063709734,2054.704063709734,2064.554240874267,-208.17200418942093,-0.001385950932826674,2024-01-15 05:00:00,2024-01-15 06:00:00,sl,0 days 01:00:00,96
72,161,168,2051.275107,2058.2522501421654,2048.43214035197,2058.2522501421654,502.3543062359131,0.0034013687965870343,2024-01-15 03:00:00,2024-01-15 10:00:00,tp,0 days 07:00:00,94
24,166,168,2055.5855380000003,2057.3066258261665,2052.764431343578,2057.3066258261665,41.30610782798976,0.0008372737569659616,2024-01-15 08:00:00,2024-01-15 10:00:00,tp,0 days 02:00:00,99
24,168,169,2056.8656659999997,2054.042802482793,2054.042802482793,2058.5878256437463,-67.74872441296247,-0.001372410247236222,2024-01-15 10:00:00,2024-01-15 11:00:00,sl,0 days 01:00:00,101
64,165,170,2055.2755070000003,2052.0966181585086,2052.0966181585086,2070.3576507377056,-203.4488858554687,-0.0015466971852020617,2024-01-15 07:00:00,2024-01-15 12:00:00,sl,0 days 05:00:00,98
64,164,172,2054.50543,2051.327732234437,2051.327732234437,2069.581922713323,-203.37265699604177,-0.0015466971852019507,2024-01-15 06:00:00,2024-01-15 14:00:00,sl,0 days 08:00:00,97
12,172,181,2052.925272,2051.34,2047.6302149776263,2064.3188312231305,-19.023263999997653,-0.0007722015124570492,2024-01-15 14:00:00,2024-01-16 02:00:00,time,0 days 12:00:00,105
63,181,186,2051.545134,2048.3137053029477,2048.3137053029477,2056.793074278156,-203.58000791429185,-0.0015751194762904097,2024-01-16 02:00:00,2024-01-16 07:00:00,sl,0 days 05:00:00,106
9,169,186,2055.255505,2048.190687822275,2048.190687822275,2060.838866626904,-63.583354599526956,-0.0034374398514140925,2024-01-15 11:00:00,2024-01-16 07:00:00,sl,0 days 20:00:00,102
9,167,187,2054.485428,2047.4232579156435,2047.4232579156435,2060.066697615297,-63.5595307592082,-0.0034374398514139815,2024-01-15 09:00:00,2024-01-16 08:00:00,sl,0 days 23:00:00,100
22,187,189,2050.685048,2047.6463759252954,2047.6463759252954,2054.730476353275,-66.8507856434976,-0.0014817838934692018,2024-01-16 08:00:00,2024-01-16 10:00:00,sl,0 days 02:00:00,107
9,171,189,2053.525332,2046.4664621878949,2046.4664621878949,2059.103993393034,-63.52982830894757,-0.0034374398514142035,2024-01-15 13:00:00,2024-01-16 10:00:00,sl,0 days 21:00:00,104
